"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"Corpus Uteri"	"27020"	"Rhode Island"	"44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Rhode Island"	"44"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Rhode Island"	"44"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	383320	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"Female"	"F"	"Black or African American"	"2054-5"	1697	8719044	21.2	19.5
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"Female"	"F"	"White"	"2106-3"	4597	19550032	18.9	23.5
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	42287	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"Female"	"F"	"Black or African American"	"2054-5"	0	47348	0.0	0.0
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"Female"	"F"	"White"	"2106-3"	1231	3842520	26.2	32.0
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	30	405867	8.4	7.4
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"Female"	"F"	"Black or African American"	"2054-5"	704	4500918	18.1	15.6
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"Female"	"F"	"White"	"2106-3"	4977	20350537	19.8	24.5
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Texas"	"48"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	465	5709736	9.9	8.1
	"Corpus Uteri"	"27020"	"Texas"	"48"	"Female"	"F"	"Black or African American"	"2054-5"	2551	18930941	17.3	13.5
	"Corpus Uteri"	"27020"	"Texas"	"48"	"Female"	"F"	"White"	"2106-3"	23031	124597860	18.5	18.5
	"Corpus Uteri"	"27020"	"Texas"	"48"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Texas"	"48"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Texas"	"48"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Utah"	"49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	83	509711	23.7	16.3
	"Corpus Uteri"	"27020"	"Utah"	"49"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	184856	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"Utah"	"49"	"Female"	"F"	"White"	"2106-3"	2954	15180034	23.3	19.5
	"Corpus Uteri"	"27020"	"Utah"	"49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Utah"	"49"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Utah"	"49"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	52895	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	36846	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"Female"	"F"	"White"	"2106-3"	1526	3981674	31.3	38.3
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	215	2049031	11.7	10.5
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"Female"	"F"	"Black or African American"	"2054-5"	1290	7437235	18.7	17.3
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"Female"	"F"	"White"	"2106-3"	6942	25869681	22.4	26.8
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Washington"	"53"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	496	3368532	15.7	14.7
	"Corpus Uteri"	"27020"	"Washington"	"53"	"Female"	"F"	"Black or African American"	"2054-5"	169	1642644	17.8	10.3
	"Corpus Uteri"	"27020"	"Washington"	"53"	"Female"	"F"	"White"	"2106-3"	10090	35294820	25.1	28.6
	"Corpus Uteri"	"27020"	"Washington"	"53"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Washington"	"53"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Washington"	"53"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	84296	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"Female"	"F"	"Black or African American"	"2054-5"	63	407105	15.0	15.5
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"Female"	"F"	"White"	"2106-3"	4176	11588707	28.2	36.0
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	67	795144	14.0	8.4
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"Female"	"F"	"Black or African American"	"2054-5"	315	2393258	20.9	13.2
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"Female"	"F"	"White"	"2106-3"	10623	32753416	27.2	32.4
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Wyoming"	"56"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	33023	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"Wyoming"	"56"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	33155	Suppressed	Suppressed
	"Corpus Uteri"	"27020"	"Wyoming"	"56"	"Female"	"F"	"White"	"2106-3"	718	3198299	19.8	22.4
	"Corpus Uteri"	"27020"	"Wyoming"	"56"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Wyoming"	"56"	"Male"	"M"	"Black or African American"	"2054-5"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Corpus Uteri"	"27020"	"Wyoming"	"56"	"Male"	"M"	"White"	"2106-3"	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Esophagus"	"21010"	"Alabama"	"01"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	320483	Suppressed	Suppressed
	"Esophagus"	"21010"	"Alabama"	"01"	"Female"	"F"	"Black or African American"	"2054-5"	181	7866002	2.5	2.3
	"Esophagus"	"21010"	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	418	20181987	1.6	2.1
	"Esophagus"	"21010"	"Alabama"	"01"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	298622	Suppressed	Suppressed
	"Esophagus"	"21010"	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	594	6843834	11.2	8.7
	"Esophagus"	"21010"	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	1727	19486260	8.0	8.9
	"Esophagus"	"21010"	"Alaska"	"02"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	281548	Suppressed	Suppressed
	"Esophagus"	"21010"	"Alaska"	"02"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	177009	Suppressed	Suppressed
	"Esophagus"	"21010"	"Alaska"	"02"	"Female"	"F"	"White"	"2106-3"	48	2987209	2.2	1.6
	"Esophagus"	"21010"	"Alaska"	"02"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	255851	Suppressed	Suppressed
	"Esophagus"	"21010"	"Alaska"	"02"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	201330	Suppressed	Suppressed
	"Esophagus"	"21010"	"Alaska"	"02"	"Male"	"M"	"White"	"2106-3"	243	3297822	9.4	7.4
	"Esophagus"	"21010"	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1165180	Suppressed	Suppressed
	"Esophagus"	"21010"	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	17	1548071	1.8	1.1
	"Esophagus"	"21010"	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	663	33111269	1.6	2.0
	"Esophagus"	"21010"	"Arizona"	"04"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	18	1054658	3.2	1.7
	"Esophagus"	"21010"	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	52	1683233	5.8	3.1
	"Esophagus"	"21010"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	2601	32852345	7.6	7.9
	"Esophagus"	"21010"	"Arkansas"	"05"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	201219	Suppressed	Suppressed
	"Esophagus"	"21010"	"Arkansas"	"05"	"Female"	"F"	"Black or African American"	"2054-5"	61	2369184	3.0	2.6
	"Esophagus"	"21010"	"Arkansas"	"05"	"Female"	"F"	"White"	"2106-3"	211	11702933	1.4	1.8
	"Esophagus"	"21010"	"Arkansas"	"05"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	184781	Suppressed	Suppressed
	"Esophagus"	"21010"	"Arkansas"	"05"	"Male"	"M"	"Black or African American"	"2054-5"	162	2140382	10.7	7.6
	"Esophagus"	"21010"	"Arkansas"	"05"	"Male"	"M"	"White"	"2106-3"	880	11395424	6.8	7.7
	"Esophagus"	"21010"	"California"	"06"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	326	33023849	1.1	1.0
	"Esophagus"	"21010"	"California"	"06"	"Female"	"F"	"Black or African American"	"2054-5"	359	17285540	2.5	2.1
	"Esophagus"	"21010"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	3529	179093638	1.9	2.0
	"Esophagus"	"21010"	"California"	"06"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	839	30349252	3.6	2.8
	"Esophagus"	"21010"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	729	16750683	6.8	4.4
	"Esophagus"	"21010"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	11222	180118309	7.3	6.2
	"Esophagus"	"21010"	"Colorado"	"08"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	989465	Suppressed	Suppressed
	"Esophagus"	"21010"	"Colorado"	"08"	"Female"	"F"	"Black or African American"	"2054-5"	24	1344573	2.4	1.8
	"Esophagus"	"21010"	"Colorado"	"08"	"Female"	"F"	"White"	"2106-3"	442	27437536	1.6	1.6
	"Esophagus"	"21010"	"Colorado"	"08"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	869388	Suppressed	Suppressed
	"Esophagus"	"21010"	"Colorado"	"08"	"Male"	"M"	"Black or African American"	"2054-5"	48	1463809	6.5	3.3
	"Esophagus"	"21010"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	1803	27691573	7.7	6.5
	"Esophagus"	"21010"	"Connecticut"	"09"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	818243	Suppressed	Suppressed
	"Esophagus"	"21010"	"Connecticut"	"09"	"Female"	"F"	"Black or African American"	"2054-5"	71	2600498	3.4	2.7
	"Esophagus"	"21010"	"Connecticut"	"09"	"Female"	"F"	"White"	"2106-3"	610	19869290	2.3	3.1
	"Esophagus"	"21010"	"Connecticut"	"09"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	19	786212	5.4	2.4
	"Esophagus"	"21010"	"Connecticut"	"09"	"Male"	"M"	"Black or African American"	"2054-5"	143	2370109	10.0	6.0
	"Esophagus"	"21010"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	1888	18836257	9.2	10.0
	"Esophagus"	"21010"	"Delaware"	"10"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	169669	Suppressed	Suppressed
	"Esophagus"	"21010"	"Delaware"	"10"	"Female"	"F"	"Black or African American"	"2054-5"	28	1243727	2.7	2.3
	"Esophagus"	"21010"	"Delaware"	"10"	"Female"	"F"	"White"	"2106-3"	129	4204706	2.3	3.1
	"Esophagus"	"21010"	"Delaware"	"10"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	158200	Suppressed	Suppressed
	"Esophagus"	"21010"	"Delaware"	"10"	"Male"	"M"	"Black or African American"	"2054-5"	67	1117794	8.8	6.0
	"Esophagus"	"21010"	"Delaware"	"10"	"Male"	"M"	"White"	"2106-3"	439	4013576	9.6	10.9
	"Esophagus"	"21010"	"District of Columbia"	"11"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	129268	Suppressed	Suppressed
	"Esophagus"	"21010"	"District of Columbia"	"11"	"Female"	"F"	"Black or African American"	"2054-5"	90	1985307	3.8	4.5
	"Esophagus"	"21010"	"District of Columbia"	"11"	"Female"	"F"	"White"	"2106-3"	24	1239751	2.3	1.9
	"Esophagus"	"21010"	"District of Columbia"	"11"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	100183	Suppressed	Suppressed
	"Esophagus"	"21010"	"District of Columbia"	"11"	"Male"	"M"	"Black or African American"	"2054-5"	230	1652044	14.1	13.9
	"Esophagus"	"21010"	"District of Columbia"	"11"	"Male"	"M"	"White"	"2106-3"	66	1244686	7.0	5.3
	"Esophagus"	"21010"	"Florida"	"12"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	23	3029035	1.2	0.8
	"Esophagus"	"21010"	"Florida"	"12"	"Female"	"F"	"Black or African American"	"2054-5"	421	19240263	2.8	2.2
	"Esophagus"	"21010"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	2789	94168990	1.9	3.0
	"Esophagus"	"21010"	"Florida"	"12"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	59	2659377	3.6	2.2
	"Esophagus"	"21010"	"Florida"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	961	17861137	8.1	5.4
	"Esophagus"	"21010"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	9978	90701923	8.4	11.0
	"Esophagus"	"21010"	"Georgia"	"13"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	16	1830996	1.9	0.9
	"Esophagus"	"21010"	"Georgia"	"13"	"Female"	"F"	"Black or African American"	"2054-5"	492	18818616	3.5	2.6
	"Esophagus"	"21010"	"Georgia"	"13"	"Female"	"F"	"White"	"2106-3"	665	38589303	1.6	1.7
	"Esophagus"	"21010"	"Georgia"	"13"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	32	1748288	3.6	1.8
	"Esophagus"	"21010"	"Georgia"	"13"	"Male"	"M"	"Black or African American"	"2054-5"	1220	16705197	11.8	7.3
	"Esophagus"	"21010"	"Georgia"	"13"	"Male"	"M"	"White"	"2106-3"	2675	38427644	7.6	7.0
	"Esophagus"	"21010"	"Hawaii"	"15"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	74	6236232	1.0	1.2
	"Esophagus"	"21010"	"Hawaii"	"15"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	179818	Suppressed	Suppressed
	"Esophagus"	"21010"	"Hawaii"	"15"	"Female"	"F"	"White"	"2106-3"	44	1903357	1.9	2.3
	"Esophagus"	"21010"	"Hawaii"	"15"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	378	5903372	6.2	6.4
	"Esophagus"	"21010"	"Hawaii"	"15"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	252999	Suppressed	Suppressed
	"Esophagus"	"21010"	"Hawaii"	"15"	"Male"	"M"	"White"	"2106-3"	184	2207496	7.6	8.3
	"Esophagus"	"21010"	"Idaho"	"16"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	143664	0.0	0.0
	"Esophagus"	"21010"	"Idaho"	"16"	"Female"	"F"	"Black or African American"	"2054-5"	0	66305	0.0	0.0
	"Esophagus"	"21010"	"Idaho"	"16"	"Female"	"F"	"White"	"2106-3"	157	8921871	1.6	1.8
	"Esophagus"	"21010"	"Idaho"	"16"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	125045	0.0	0.0
	"Esophagus"	"21010"	"Idaho"	"16"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	85193	Suppressed	Suppressed
	"Esophagus"	"21010"	"Idaho"	"16"	"Male"	"M"	"White"	"2106-3"	683	8969713	8.1	7.6
	"Esophagus"	"21010"	"Illinois"	"17"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3710831	Suppressed	Suppressed
	"Esophagus"	"21010"	"Illinois"	"17"	"Female"	"F"	"Black or African American"	"2054-5"	406	13438855	3.4	3.0
	"Esophagus"	"21010"	"Illinois"	"17"	"Female"	"F"	"White"	"2106-3"	1626	66112731	2.0	2.5
	"Esophagus"	"21010"	"Illinois"	"17"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3520181	Suppressed	Suppressed
	"Esophagus"	"21010"	"Illinois"	"17"	"Male"	"M"	"Black or African American"	"2054-5"	942	11887774	11.2	7.9
	"Esophagus"	"21010"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	5873	64642622	9.5	9.1
	"Esophagus"	"21010"	"Indiana"	"18"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	621027	Suppressed	Suppressed
	"Esophagus"	"21010"	"Indiana"	"18"	"Female"	"F"	"Black or African American"	"2054-5"	112	3979092	3.6	2.8
	"Esophagus"	"21010"	"Indiana"	"18"	"Female"	"F"	"White"	"2106-3"	809	36811749	1.8	2.2
	"Esophagus"	"21010"	"Indiana"	"18"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	594701	Suppressed	Suppressed
	"Esophagus"	"21010"	"Indiana"	"18"	"Male"	"M"	"Black or African American"	"2054-5"	224	3682158	9.6	6.1
	"Esophagus"	"21010"	"Indiana"	"18"	"Male"	"M"	"White"	"2106-3"	3373	35731578	9.6	9.4
	"Esophagus"	"21010"	"Iowa"	"19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	325118	0.0	0.0
	"Esophagus"	"21010"	"Iowa"	"19"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	542173	Suppressed	Suppressed
	"Esophagus"	"21010"	"Iowa"	"19"	"Female"	"F"	"White"	"2106-3"	448	18681169	1.8	2.4
	"Esophagus"	"21010"	"Iowa"	"19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	320085	0.0	0.0
	"Esophagus"	"21010"	"Iowa"	"19"	"Male"	"M"	"Black or African American"	"2054-5"	25	596889	9.2	4.2
	"Esophagus"	"21010"	"Iowa"	"19"	"Male"	"M"	"White"	"2106-3"	1855	18087559	9.5	10.3
	"Esophagus"	"21010"	"Kansas"	"20"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	440005	Suppressed	Suppressed
	"Esophagus"	"21010"	"Kansas"	"20"	"Female"	"F"	"Black or African American"	"2054-5"	21	1155713	2.4	1.8
	"Esophagus"	"21010"	"Kansas"	"20"	"Female"	"F"	"White"	"2106-3"	306	16307887	1.5	1.9
	"Esophagus"	"21010"	"Kansas"	"20"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	417532	Suppressed	Suppressed
	"Esophagus"	"21010"	"Kansas"	"20"	"Male"	"M"	"Black or African American"	"2054-5"	60	1184566	8.5	5.1
	"Esophagus"	"21010"	"Kansas"	"20"	"Male"	"M"	"White"	"2106-3"	1194	15942426	7.5	7.5
	"Esophagus"	"21010"	"Kentucky"	"21"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	313047	Suppressed	Suppressed
	"Esophagus"	"21010"	"Kentucky"	"21"	"Female"	"F"	"Black or African American"	"2054-5"	53	2218546	3.0	2.4
	"Esophagus"	"21010"	"Kentucky"	"21"	"Female"	"F"	"White"	"2106-3"	500	25152002	1.6	2.0
	"Esophagus"	"21010"	"Kentucky"	"21"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	287898	Suppressed	Suppressed
	"Esophagus"	"21010"	"Kentucky"	"21"	"Male"	"M"	"Black or African American"	"2054-5"	165	2147110	11.7	7.7
	"Esophagus"	"21010"	"Kentucky"	"21"	"Male"	"M"	"White"	"2106-3"	2216	24207196	9.0	9.2
	"Esophagus"	"21010"	"Louisiana"	"22"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	453221	Suppressed	Suppressed
	"Esophagus"	"21010"	"Louisiana"	"22"	"Female"	"F"	"Black or African American"	"2054-5"	216	10009225	2.5	2.2
	"Esophagus"	"21010"	"Louisiana"	"22"	"Female"	"F"	"White"	"2106-3"	422	19157719	1.8	2.2
	"Esophagus"	"21010"	"Louisiana"	"22"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	450899	Suppressed	Suppressed
	"Esophagus"	"21010"	"Louisiana"	"22"	"Male"	"M"	"Black or African American"	"2054-5"	646	9016919	10.0	7.2
	"Esophagus"	"21010"	"Louisiana"	"22"	"Male"	"M"	"White"	"2106-3"	1673	18616296	8.7	9.0
	"Esophagus"	"21010"	"Maine"	"23"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	94163	0.0	0.0
	"Esophagus"	"21010"	"Maine"	"23"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	83956	Suppressed	Suppressed
	"Esophagus"	"21010"	"Maine"	"23"	"Female"	"F"	"White"	"2106-3"	263	8473210	2.3	3.1
	"Esophagus"	"21010"	"Maine"	"23"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	74899	Suppressed	Suppressed
	"Esophagus"	"21010"	"Maine"	"23"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	106786	Suppressed	Suppressed
	"Esophagus"	"21010"	"Maine"	"23"	"Male"	"M"	"White"	"2106-3"	1080	8077168	11.7	13.4
	"Esophagus"	"21010"	"Maryland"	"24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1870832	Suppressed	Suppressed
	"Esophagus"	"21010"	"Maryland"	"24"	"Female"	"F"	"Black or African American"	"2054-5"	240	10732486	2.7	2.2
	"Esophagus"	"21010"	"Maryland"	"24"	"Female"	"F"	"White"	"2106-3"	542	21837793	2.0	2.5
	"Esophagus"	"21010"	"Maryland"	"24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	32	1715297	2.8	1.9
	"Esophagus"	"21010"	"Maryland"	"24"	"Male"	"M"	"Black or African American"	"2054-5"	589	9380024	9.1	6.3
	"Esophagus"	"21010"	"Maryland"	"24"	"Male"	"M"	"White"	"2106-3"	2045	21086879	9.3	9.7
	"Esophagus"	"21010"	"Massachusetts"	"25"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	19	2170570	1.5	0.9
	"Esophagus"	"21010"	"Massachusetts"	"25"	"Female"	"F"	"Black or African American"	"2054-5"	78	3264611	3.2	2.4
	"Esophagus"	"21010"	"Massachusetts"	"25"	"Female"	"F"	"White"	"2106-3"	1194	37666908	2.4	3.2
	"Esophagus"	"21010"	"Massachusetts"	"25"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	51	2040291	5.2	2.5
	"Esophagus"	"21010"	"Massachusetts"	"25"	"Male"	"M"	"Black or African American"	"2054-5"	171	3034219	10.0	5.6
	"Esophagus"	"21010"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	4267	35190501	11.5	12.1
